Artist,Track,Energy,Valence,Url_youtube
Nicky Jam,Hasta el Amanecer,0.608,0.589,https://www.youtube.com/watch?v=kkx-7fsiWgg
Nicky Jam,Color Esperanza 2020,0.785,0.785,https://www.youtube.com/watch?v=GqOvxbFLwjY
Nicky Jam,Donde Estan las Gatas,0.788,0.815,https://www.youtube.com/watch?v=HNM7R7TmOsg
The Beatles,Here Comes The Sun - Remastered 2009,0.54,0.394,https://www.youtube.com/watch?v=KQetemT1sWc
The Beatles,Let It Be - Remastered 2009,0.403,0.41,https://www.youtube.com/watch?v=QDYfEBY9NM4
The Beatles,Come Together - Remastered 2009,0.376,0.187,https://www.youtube.com/watch?v=oolpPmuK2I8
The Beatles,Yesterday - Remastered 2009,0.179,0.315,https://www.youtube.com/watch?v=NrgmdOz227I
The Beatles,Twist And Shout - Remastered 2009,0.849,0.937,https://www.youtube.com/watch?v=2RicaUqd9Hg
The Beatles,Blackbird - Remastered 2009,0.127,0.372,https://www.youtube.com/watch?v=Man4Xw8Xypo
The Beatles,In My Life - Remastered 2009,0.435,0.435,https://www.youtube.com/watch?v=YBcdt6DsLQA
The Beatles,Hey Jude - Remastered 2015,0.607,0.532,https://www.youtube.com/watch?v=mQER0A0ej0M
The Beatles,I Want To Hold Your Hand - Remastered 2015,0.715,0.866,https://www.youtube.com/watch?v=v1HDt1tknTc
The Beatles,Something - Remastered 2009,0.338,0.377,https://www.youtube.com/watch?v=UelDrZ1aFeY
Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",0.939,0.53,https://www.youtube.com/watch?v=EPo5wWmKEaI
Pitbull,Timber (feat. Ke$ha),0.963,0.788,https://www.youtube.com/watch?v=hHUbLv4ThOo
Pitbull,Time of Our Lives,0.802,0.724,https://www.youtube.com/watch?v=bTXJQ5ql5Fw
Pitbull,Feel This Moment (feat. Christina Aguilera),0.758,0.542,https://www.youtube.com/watch?v=5jlI4uzZGjU
Pitbull,International Love (feat. Chris Brown),0.855,0.648,https://www.youtube.com/watch?v=CdXesX6mYUE
Pitbull,Fireball (feat. John Ryan),0.933,0.836,https://www.youtube.com/watch?v=HMqgVXSvwGo
Pitbull,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),0.935,0.567,https://www.youtube.com/watch?v=TGtWWb9emYI
Pitbull,Hotel Room Service,0.631,0.738,https://www.youtube.com/watch?v=2up_Eq6r6Ko
Pitbull,Hey Baby (Drop It to the Floor) (feat. T-Pain),0.912,0.762,https://www.youtube.com/watch?v=LefQdEMJP1I
Pitbull,HOT,0.677,0.578,https://www.youtube.com/watch?v=B5PLNv4Nc4o
Sean Paul,No Lie,0.882,0.463,https://www.youtube.com/watch?v=GzU8KqOY8YA
Sean Paul,Temperature,0.6,0.822,https://www.youtube.com/watch?v=dW2MmuA1nI4
Sean Paul,Go Down Deh (feat. Shaggy and Sean Paul),0.764,0.578,https://www.youtube.com/watch?v=lZizLbWxr_E
Sean Paul,Get Busy,0.824,0.725,https://www.youtube.com/watch?v=oPQ3o14ksaM
Sean Paul,She Doesn't Mind,0.776,0.622,https://www.youtube.com/watch?v=SbUBMklQSVU
Sean Paul,Give It Up to Me,0.674,0.578,https://www.youtube.com/watch?v=bMoNV9oWs2E
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,0.761,0.718,https://www.youtube.com/watch?v=bMoNV9oWs2E
Sean Paul,I'm Still in Love with You (feat. Sasha),0.666,0.757,https://www.youtube.com/watch?v=AQ4TW5Z8eu0
Sean Paul,UP,0.712,0.85,https://www.youtube.com/watch?v=8Fl6d_fSRNs
